- - - - - W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
- - - - - W 2 2 W T W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W 2 2 W 2 W 2 2 2 W 2 2 2 2 2 2 2 2 2 2 F 2 2 2 2 F F 2 2 2 2 W
- - - - - W 2 2 S G F 2 2 2 W 2 2 2 2 F 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W 
- - - - - W 2 2 2 2 2 2 2 2 W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 H 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 F 2 2 2 2 2 2 2 2 2 2 2 2 W W W W
- - - - - W 2 2 2 2 2 2 2 F 2 2 2 2 2 2 2 R 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W H 2 2 2 2 2 2 F 2 2 2 2 2 2 2 2 2 2 2 2 S 2 2 2 2 2 2 2 S 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 F 2 2 2 2 2 2 2 2 2 2 2 2 F 2 2 2 2 2 2 2 2 2 2 B E 
- - - - - W 2 2 2 F 2 2 2 2 2 2 F 2 2 2 2 2 2 2 2 2 2 2 2 R 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 S 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 F F F 2 2 2 F 2 2 W
- - - - - W 2 2 S 2 2 2 2 2 R 2 2 2 2 2 2 F 2 2 2 2 2 F H F 2 2 2 W W W W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 W 2 2 2 2 2 2 2 2 2 F F F 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 H 2 2 2 2 F 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W 2 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 F F 2 2 2 2 2 2 2 2 2 W 2 2 2 2 2 2 2 2 2 2 G 2 2 W
! - - - - W 2 P 2 2 2 F F S 2 2 2 2 2 2 2 2 W 2 2 2 2 2 2 W 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 S 2 2 2 2 W 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 R 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 G 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 S 2 W
- - - - - W 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 R 2 2 2 2 2 2 2 2 2 R S H W
- - - - - W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W
